data_venda,id_pedido,produto,categoria,quantidade,preco_unitario,receita_total,regiao,metodo_pagamento,cliente_tipo
2024-09-20,PED00089,MacBook Air M2,Laptops,1,8500,8500,Sul,Cartão de Débito,Novo
2024-08-26,PED00090,Samsung Buds,Fones de Ouvido,1,650,650,Oeste,Cartão de Débito,Recorrente
2024-10-18,PED00091,iPhone 14,Smartphones,2,3500,7000,Centro,Cartão de Débito,Recorrente
2024-01-07,PED00092,Xiaomi Band 8,Smartwatches,2,350,700,Norte,Cartão de Crédito,Recorrente
2024-10-07,PED00093,Samsung Galaxy Watch 6,Smartwatches,2,2800,5600,Leste,Boleto,Recorrente
2024-02-18,PED00094,Sony WH-1000XM5,Fones de Ouvido,2,1500,3000,Leste,Boleto,Recorrente
2024-09-13,PED00095,Asus ROG,Laptops,1,9500,9500,Leste,Cartão de Débito,Recorrente
2024-12-27,PED00096,Lenovo ThinkPad,Laptops,1,5800,5800,Oeste,Cartão de Débito,Novo
2024-09-05,PED00097,Lenovo Tab P11,Tablets,1,1800,1800,Norte,PIX,Recorrente
2024-06-03,PED00098,Xiaomi Band 8,Smartwatches,2,350,700,Sul,Boleto,Recorrente
2024-11-19,PED00099,Xiaomi 13,Smartphones,1,2800,2800,Centro,Boleto,Recorrente
2024-02-02,PED00100,MacBook Air M2,Laptops,1,8500,8500,Centro,PIX,Recorrente
2024-08-19,PED00101,Amazon Fire HD,Tablets,1,850,850,Sul,Cartão de Débito,Recorrente
2024-05-26,PED00102,Samsung Tab S9,Tablets,1,3500,3500,Norte,Cartão de Crédito,Recorrente
2024-02-09,PED00103,MacBook Air M2,Laptops,1,8500,8500,Norte,Boleto,Novo
2024-12-22,PED00104,Lenovo Tab P11,Tablets,1,1800,1800,Norte,PIX,Recorrente
2024-04-10,PED00105,Xiaomi 13,Smartphones,1,2800,2800,Leste,PIX,Novo
2024-08-06,PED00106,Samsung Tab S9,Tablets,1,3500,3500,Norte,Boleto,Novo
2024-11-14,PED00107,Motorola Edge 40,Smartphones,1,2200,2200,Oeste,Boleto,Recorrente
2024-11-02,PED00108,Dell XPS 15,Laptops,2,7200,14400,Oeste,Cartão de Crédito,Recorrente
2024-07-15,PED00109,Samsung Galaxy Watch 6,Smartwatches,1,2800,2800,Norte,Boleto,Recorrente
2024-04-12,PED00110,iPad Air,Tablets,1,4200,4200,Leste,PIX,Recorrente
2024-04-10,PED00111,Sony WH-1000XM5,Fones de Ouvido,2,1500,3000,Leste,Cartão de Débito,Novo
2024-09-12,PED00112,Lenovo ThinkPad,Laptops,2,5800,11600,Oeste,Boleto,Novo
2024-08-13,PED00113,JBL Tune 510,Fones de Ouvido,3,280,840,Oeste,Cartão de Crédito,Novo
2024-12-22,PED00114,Xiaomi Band 8,Smartwatches,1,350,350,Sul,Cartão de Crédito,Novo
2024-08-26,PED00115,Samsung Buds,Fones de Ouvido,2,650,1300,Leste,PIX,Recorrente
2024-11-09,PED00116,iPhone 14,Smartphones,2,3500,7000,Centro,Cartão de Crédito,Recorrente
2024-10-25,PED00117,AirPods Pro,Fones de Ouvido,1,1800,1800,Oeste,Cartão de Crédito,Recorrente
2024-09-26,PED00118,MacBook Air M2,Laptops,2,8500,17000,Norte,Boleto,Recorrente
2024-04-13,PED00119,Xiaomi Band 8,Smartwatches,1,350,350,Leste,PIX,Recorrente
2024-04-24,PED00120,Amazon Fire HD,Tablets,1,850,850,Centro,Cartão de Crédito,Novo
2024-05-20,PED00121,Apple Watch Series 9,Smartwatches,1,4500,4500,Sul,Boleto,Novo
2024-01-10,PED00122,Lenovo ThinkPad,Laptops,2,5800,11600,Oeste,Cartão de Débito,Recorrente
2024-10-02,PED00123,Lenovo ThinkPad,Laptops,1,5800,5800,Oeste,Cartão de Crédito,Recorrente
2024-12-13,PED00124,Samsung Galaxy S23,Smartphones,1,4200,4200,Norte,Cartão de Débito,Recorrente
2024-08-22,PED00125,Lenovo Tab P11,Tablets,1,1800,1800,Oeste,PIX,Recorrente
2024-11-24,PED00126,Lenovo Tab P11,Tablets,1,1800,1800,Centro,PIX,Recorrente
2024-08-16,PED00127,Lenovo ThinkPad,Laptops,1,5800,5800,Sul,Cartão de Débito,Recorrente
2024-12-14,PED00128,Garmin Forerunner,Smartwatches,2,2200,4400,Centro,Boleto,Recorrente
2024-04-21,PED00129,Apple Watch Series 9,Smartwatches,1,4500,4500,Norte,Cartão de Débito,Recorrente
2024-12-11,PED00130,Garmin Forerunner,Smartwatches,2,2200,4400,Norte,Boleto,Recorrente
2024-06-18,PED00131,Asus ROG,Laptops,1,9500,9500,Norte,Boleto,Novo
2024-04-05,PED00132,Apple Watch Series 9,Smartwatches,1,4500,4500,Centro,Boleto,Novo
2024-08-14,PED00133,iPad Air,Tablets,1,4200,4200,Sul,PIX,Recorrente
2024-02-12,PED00134,Xiaomi Band 8,Smartwatches,1,350,350,Norte,Cartão de Débito,Recorrente
2024-08-28,PED00135,Samsung Tab S9,Tablets,1,3500,3500,Leste,Cartão de Débito,Recorrente
2024-05-01,PED00136,Asus ROG,Laptops,1,9500,9500,Oeste,Cartão de Débito,Novo
2024-08-11,PED00137,Samsung Galaxy Watch 6,Smartwatches,1,2800,2800,Norte,Boleto,Novo
2024-08-09,PED00138,Samsung Buds,Fones de Ouvido,2,650,1300,Leste,Boleto,Recorrente
2024-06-23,PED00139,iPad Air,Tablets,1,4200,4200,Sul,Boleto,Recorrente
2024-01-11,PED00140,Asus ROG,Laptops,1,9500,9500,Sul,Cartão de Débito,Novo
2024-05-27,PED00141,Xiaomi Band 8,Smartwatches,1,350,350,Centro,Boleto,Novo
2024-03-18,PED00142,Xiaomi 13,Smartphones,1,2800,2800,Sul,Cartão de Crédito,Recorrente
2024-04-10,PED00143,Samsung Buds,Fones de Ouvido,2,650,1300,Leste,Boleto,Recorrente
2024-09-04,PED00144,MacBook Air M2,Laptops,2,8500,17000,Centro,PIX,Recorrente
2024-07-13,PED00145,MacBook Air M2,Laptops,1,8500,8500,Centro,PIX,Recorrente
2024-06-27,PED00146,Samsung Galaxy S23,Smartphones,1,4200,4200,Centro,Cartão de Crédito,Recorrente
2024-05-26,PED00147,Amazon Fire HD,Tablets,1,850,850,Leste,Boleto,Recorrente
2024-08-14,PED00148,Samsung Galaxy S23,Smartphones,1,4200,4200,Sul,PIX,Novo
2024-08-07,PED00149,Apple Watch Series 9,Smartwatches,1,4500,4500,Norte,Cartão de Crédito,Recorrente
2024-11-03,PED00150,Xiaomi Band 8,Smartwatches,2,350,700,Norte,PIX,Recorrente
2024-10-16,PED00151,iPad Air,Tablets,1,4200,4200,Leste,Cartão de Crédito,Recorrente
2024-02-07,PED00152,Asus ROG,Laptops,1,9500,9500,Oeste,PIX,Recorrente
2024-04-27,PED00153,AirPods Pro,Fones de Ouvido,3,1800,5400,Centro,Cartão de Débito,Novo
2024-07-12,PED00154,iPhone 14,Smartphones,1,3500,3500,Centro,Boleto,Novo
2024-08-22,PED00155,Samsung Buds,Fones de Ouvido,2,650,1300,Oeste,Cartão de Crédito,Recorrente
2024-06-05,PED00156,Dell XPS 15,Laptops,2,7200,14400,Leste,Cartão de Débito,Recorrente
2024-07-15,PED00157,Lenovo Tab P11,Tablets,1,1800,1800,Centro,PIX,Recorrente
2024-04-01,PED00158,Lenovo Tab P11,Tablets,1,1800,1800,Norte,Cartão de Débito,Novo
2024-09-01,PED00159,Samsung Galaxy S23,Smartphones,1,4200,4200,Norte,PIX,Novo
2024-06-09,PED00160,Apple Watch Series 9,Smartwatches,1,4500,4500,Centro,Cartão de Débito,Recorrente
2024-05-17,PED00161,Samsung Galaxy S23,Smartphones,1,4200,4200,Sul,Cartão de Débito,Recorrente
2024-05-16,PED00162,Dell XPS 15,Laptops,2,7200,14400,Centro,Cartão de Débito,Novo
2024-01-08,PED00163,Motorola Edge 40,Smartphones,1,2200,2200,Centro,Boleto,Recorrente
2024-03-23,PED00164,Xiaomi 13,Smartphones,1,2800,2800,Sul,Cartão de Crédito,Recorrente
2024-08-20,PED00165,iPad Air,Tablets,1,4200,4200,Sul,PIX,Recorrente
2024-10-09,PED00166,MacBook Air M2,Laptops,1,8500,8500,Oeste,Cartão de Crédito,Recorrente
2024-06-28,PED00167,iPad Air,Tablets,1,4200,4200,Leste,PIX,Recorrente
2024-11-04,PED00168,Garmin Forerunner,Smartwatches,1,2200,2200,Sul,PIX,Recorrente
2024-05-18,PED00169,AirPods Pro,Fones de Ouvido,1,1800,1800,Sul,Boleto,Novo
2024-01-18,PED00170,Asus ROG,Laptops,2,9500,19000,Leste,Cartão de Débito,Recorrente
2024-10-08,PED00171,Samsung Tab S9,Tablets,1,3500,3500,Sul,Cartão de Débito,Recorrente
2024-05-18,PED00172,JBL Tune 510,Fones de Ouvido,2,280,560,Centro,PIX,Recorrente
2024-06-11,PED00173,Sony WH-1000XM5,Fones de Ouvido,2,1500,3000,Norte,Boleto,Novo
2024-03-01,PED00174,Samsung Galaxy S23,Smartphones,1,4200,4200,Norte,Cartão de Crédito,Recorrente
2024-12-18,PED00175,Samsung Galaxy S23,Smartphones,2,4200,8400,Norte,Boleto,Recorrente
2024-12-27,PED00176,Motorola Edge 40,Smartphones,1,2200,2200,Sul,Cartão de Crédito,Novo
2024-03-11,PED00177,AirPods Pro,Fones de Ouvido,3,1800,5400,Oeste,Boleto,Recorrente
2024-08-17,PED00178,Asus ROG,Laptops,1,9500,9500,Sul,PIX,Recorrente
2024-03-10,PED00179,Asus ROG,Laptops,1,9500,9500,Leste,Cartão de Crédito,Recorrente
2024-06-11,PED00180,Motorola Edge 40,Smartphones,1,2200,2200,Leste,Boleto,Recorrente
2024-10-15,PED00181,Lenovo ThinkPad,Laptops,2,5800,11600,Oeste,Cartão de Débito,Novo
2024-05-26,PED00182,Motorola Edge 40,Smartphones,1,2200,2200,Oeste,Cartão de Débito,Recorrente
2024-04-27,PED00183,Amazon Fire HD,Tablets,2,850,1700,Sul,PIX,Recorrente
2024-12-04,PED00184,MacBook Air M2,Laptops,2,8500,17000,Leste,PIX,Recorrente
2024-01-08,PED00185,Garmin Forerunner,Smartwatches,1,2200,2200,Sul,PIX,Novo
2024-09-21,PED00186,Amazon Fire HD,Tablets,2,850,1700,Leste,PIX,Novo
2024-05-25,PED00187,Samsung Buds,Fones de Ouvido,2,650,1300,Oeste,PIX,Recorrente
2024-06-14,PED00188,Apple Watch Series 9,Smartwatches,1,4500,4500,Leste,Cartão de Crédito,Novo
2024-10-03,PED00189,Garmin Forerunner,Smartwatches,2,2200,4400,Leste,Cartão de Débito,Novo
2024-04-28,PED00190,AirPods Pro,Fones de Ouvido,1,1800,1800,Leste,Cartão de Crédito,Recorrente
2024-06-03,PED00191,Xiaomi 13,Smartphones,1,2800,2800,Norte,PIX,Recorrente
2024-10-18,PED00192,Amazon Fire HD,Tablets,2,850,1700,Centro,Cartão de Crédito,Novo
2024-10-07,PED00193,JBL Tune 510,Fones de Ouvido,3,280,840,Leste,Cartão de Crédito,Recorrente
2024-01-28,PED00194,Samsung Galaxy S23,Smartphones,1,4200,4200,Centro,PIX,Novo
2024-08-24,PED00195,MacBook Air M2,Laptops,1,8500,8500,Sul,Boleto,Recorrente
2024-12-13,PED00196,Samsung Galaxy Watch 6,Smartwatches,2,2800,5600,Oeste,Cartão de Crédito,Recorrente
2024-01-22,PED00197,Samsung Galaxy Watch 6,Smartwatches,1,2800,2800,Oeste,Boleto,Recorrente
2024-07-05,PED00198,AirPods Pro,Fones de Ouvido,2,1800,3600,Centro,Cartão de Crédito,Recorrente
2024-09-26,PED00199,Samsung Tab S9,Tablets,1,3500,3500,Leste,PIX,Novo
2024-12-11,PED00200,Samsung Tab S9,Tablets,1,3500,3500,Leste,Cartão de Débito,Novo
2024-12-13,PED00201,Samsung Galaxy Watch 6,Smartwatches,1,2800,2800,Leste,Cartão de Crédito,Recorrente
2024-06-27,PED00202,Motorola Edge 40,Smartphones,1,2200,2200,Leste,PIX,Recorrente
2024-04-06,PED00203,Amazon Fire HD,Tablets,2,850,1700,Leste,PIX,Novo
2024-04-23,PED00204,Motorola Edge 40,Smartphones,1,2200,2200,Leste,Cartão de Crédito,Recorrente
2024-10-07,PED00205,MacBook Air M2,Laptops,1,8500,8500,Sul,Cartão de Débito,Recorrente
2024-05-23,PED00206,Samsung Buds,Fones de Ouvido,3,650,1950,Oeste,Cartão de Débito,Novo
2024-10-06,PED00207,Apple Watch Series 9,Smartwatches,2,4500,9000,Norte,PIX,Recorrente
2024-02-05,PED00208,Samsung Galaxy S23,Smartphones,2,4200,8400,Norte,PIX,Novo
2024-11-24,PED00209,iPhone 14,Smartphones,1,3500,3500,Norte,Cartão de Crédito,Novo
2024-08-21,PED00210,iPad Air,Tablets,1,4200,4200,Sul,Cartão de Crédito,Recorrente
2024-09-22,PED00211,Asus ROG,Laptops,1,9500,9500,Sul,PIX,Recorrente
2024-08-08,PED00212,Asus ROG,Laptops,1,9500,9500,Norte,Boleto,Novo
2024-10-27,PED00213,Samsung Buds,Fones de Ouvido,2,650,1300,Norte,Boleto,Recorrente
2024-10-06,PED00214,iPhone 14,Smartphones,1,3500,3500,Norte,Cartão de Crédito,Recorrente
2024-04-13,PED00215,Samsung Galaxy Watch 6,Smartwatches,2,2800,5600,Oeste,PIX,Recorrente
2024-05-19,PED00216,Motorola Edge 40,Smartphones,1,2200,2200,Centro,PIX,Novo
2024-05-20,PED00217,iPad Air,Tablets,1,4200,4200,Oeste,Cartão de Crédito,Novo
2024-04-07,PED00218,iPhone 14,Smartphones,1,3500,3500,Norte,Cartão de Débito,Recorrente
2024-06-14,PED00219,Xiaomi 13,Smartphones,1,2800,2800,Oeste,Boleto,Recorrente
2024-07-18,PED00220,Xiaomi 13,Smartphones,1,2800,2800,Centro,Cartão de Débito,Novo
2024-07-28,PED00221,Amazon Fire HD,Tablets,1,850,850,Oeste,PIX,Novo
2024-04-05,PED00222,Apple Watch Series 9,Smartwatches,1,4500,4500,Oeste,Cartão de Débito,Novo
2024-10-08,PED00223,Amazon Fire HD,Tablets,1,850,850,Norte,PIX,Recorrente
2024-04-17,PED00224,Amazon Fire HD,Tablets,1,850,850,Oeste,Cartão de Débito,Novo
2024-11-19,PED00225,Samsung Buds,Fones de Ouvido,3,650,1950,Oeste,Cartão de Crédito,Recorrente
2024-03-13,PED00226,AirPods Pro,Fones de Ouvido,3,1800,5400,Sul,Cartão de Débito,Recorrente
2024-02-28,PED00227,iPad Air,Tablets,1,4200,4200,Centro,Cartão de Crédito,Novo
2024-07-25,PED00228,Apple Watch Series 9,Smartwatches,1,4500,4500,Leste,Cartão de Crédito,Novo
2024-07-23,PED00229,MacBook Air M2,Laptops,1,8500,8500,Norte,Cartão de Débito,Recorrente
2024-11-14,PED00230,Samsung Tab S9,Tablets,2,3500,7000,Sul,Cartão de Débito,Recorrente
2024-06-04,PED00231,AirPods Pro,Fones de Ouvido,2,1800,3600,Centro,Boleto,Recorrente
2024-04-20,PED00232,Motorola Edge 40,Smartphones,1,2200,2200,Leste,Boleto,Novo
2024-03-03,PED00233,Apple Watch Series 9,Smartwatches,1,4500,4500,Norte,Cartão de Crédito,Recorrente
2024-02-11,PED00234,Lenovo Tab P11,Tablets,1,1800,1800,Sul,Cartão de Crédito,Recorrente
2024-08-03,PED00235,Samsung Galaxy Watch 6,Smartwatches,1,2800,2800,Leste,PIX,Novo
2024-06-07,PED00236,Xiaomi 13,Smartphones,1,2800,2800,Leste,PIX,Novo
2024-06-18,PED00237,JBL Tune 510,Fones de Ouvido,2,280,560,Oeste,Cartão de Débito,Recorrente
2024-12-11,PED00238,Motorola Edge 40,Smartphones,1,2200,2200,Centro,PIX,Recorrente
2024-06-24,PED00239,Xiaomi 13,Smartphones,1,2800,2800,Oeste,Cartão de Crédito,Recorrente
2024-02-13,PED00240,Xiaomi 13,Smartphones,1,2800,2800,Leste,Cartão de Débito,Recorrente
2024-06-09,PED00241,Samsung Buds,Fones de Ouvido,1,650,650,Oeste,Boleto,Recorrente
2024-11-22,PED00242,Motorola Edge 40,Smartphones,1,2200,2200,Leste,Cartão de Débito,Recorrente
2024-09-19,PED00243,Xiaomi 13,Smartphones,1,2800,2800,Leste,Boleto,Recorrente
2024-06-22,PED00244,Sony WH-1000XM5,Fones de Ouvido,2,1500,3000,Sul,Cartão de Crédito,Recorrente
2024-02-20,PED00245,Xiaomi Band 8,Smartwatches,1,350,350,Oeste,Boleto,Recorrente
2024-05-23,PED00246,Sony WH-1000XM5,Fones de Ouvido,3,1500,4500,Leste,Cartão de Débito,Recorrente
2024-08-01,PED00247,Lenovo ThinkPad,Laptops,1,5800,5800,Centro,PIX,Novo
2024-02-24,PED00248,JBL Tune 510,Fones de Ouvido,2,280,560,Sul,Cartão de Crédito,Recorrente
2024-11-06,PED00249,iPad Air,Tablets,1,4200,4200,Norte,Boleto,Novo
2024-01-13,PED00250,Samsung Galaxy Watch 6,Smartwatches,2,2800,5600,Oeste,PIX,Recorrente
2024-08-21,PED00251,Garmin Forerunner,Smartwatches,2,2200,4400,Norte,Boleto,Novo
2024-09-14,PED00252,Asus ROG,Laptops,1,9500,9500,Norte,Boleto,Novo
2024-04-11,PED00253,AirPods Pro,Fones de Ouvido,1,1800,1800,Centro,Boleto,Recorrente
2024-03-25,PED00254,Samsung Galaxy Watch 6,Smartwatches,1,2800,2800,Oeste,PIX,Novo
2024-10-22,PED00255,iPad Air,Tablets,1,4200,4200,Oeste,Cartão de Crédito,Novo
2024-08-22,PED00256,Amazon Fire HD,Tablets,1,850,850,Oeste,Boleto,Recorrente
2024-07-12,PED00257,Samsung Galaxy S23,Smartphones,1,4200,4200,Sul,Boleto,Novo
2024-04-25,PED00258,Sony WH-1000XM5,Fones de Ouvido,1,1500,1500,Oeste,PIX,Novo
2024-03-23,PED00259,Samsung Tab S9,Tablets,1,3500,3500,Leste,PIX,Recorrente
2024-11-09,PED00260,Xiaomi Band 8,Smartwatches,2,350,700,Leste,Cartão de Crédito,Novo
2024-09-12,PED00261,Amazon Fire HD,Tablets,1,850,850,Oeste,Cartão de Crédito,Recorrente
2024-07-28,PED00262,AirPods Pro,Fones de Ouvido,2,1800,3600,Norte,PIX,Recorrente
2024-02-13,PED00263,Lenovo Tab P11,Tablets,2,1800,3600,Sul,Boleto,Novo
2024-07-11,PED00264,Samsung Tab S9,Tablets,1,3500,3500,Leste,Cartão de Débito,Novo
